,UNIT,LEVEL,Art,Type,x,y,z
1,N547E390,15,1,Big Sandy,390.232,547.25,100.051
2,N547E390,15,20,Big Sandy,390.753,547.401,100.033
3,N547E391,12,39,St. Charles,391.732,547.793,100.149
4,N547E391,14,1,Big Sandy,391.263,547.694,100.066
5,N547E392,16,1,Jude,392.33,547.282,100.002
6,N547E392,16,8,Big Sandy,392.616,547.877,100.022
7,N547E392,16,12,Jude,392.151,547.851,100.019
8,N547E392,17,1,Dalton,392.421,547.198,99.979
9,N548E391,16,1,Jude,391.432,548.86,100.069
10,N548E391,17,10,Big Sandy,391.258,548.274,100.012
11,N548E392,12,2,Corner-Notched,392.669,548.843,100.15
12,N548E392,13,2,Corner-Notched,392.623,548.598,100.084
13,N548E392,13,31,Big Sandy,392.075,548.337,100.022
14,N548E392,16,1,Jude,392.52,548.258,99.893
15,N547E391,14,5,Big Sandy,391.75,547.25,100.052